지점,지점명,일시,강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm)
108,서울,2021-01-04,2.33,,,,,0
108,서울,2021-01-05,5.42,,,,,0
108,서울,2021-01-06,5.33,,,,,2.3
108,서울,2021-01-12,7.5,,,,,2.6
108,서울,2021-01-13,.67,,,,,0
108,서울,2021-01-15,.42,,,,,.2
108,서울,2021-01-17,5.25,,,,,0
108,서울,2021-01-18,5.42,,,,,.3
108,서울,2021-01-21,10.25,,,,,9.2
108,서울,2021-01-22,2,,,,,.1
108,서울,2021-01-26,6.92,,,,,1.7
108,서울,2021-01-28,1.33,,,,,2
108,서울,2021-01-30,4.5,,,,,.5
108,서울,2021-02-01,.83,,,,,.7
108,서울,2021-02-02,3.83,,,,,0
108,서울,2021-02-03,6.5,,,,,3.4
108,서울,2021-02-04,1.33,,,,,.1
108,서울,2021-02-14,.17,,,,,0
108,서울,2021-02-15,5.5,,,,,1.4
108,서울,2021-02-16,5.55,,,,,1.5
108,서울,2021-02-17,.67,,,,,0
108,서울,2021-03-01,22.92,,,,,67.5
108,서울,2021-03-02,1.33,,,,,.1
108,서울,2021-03-12,2.75,,,,,0
108,서울,2021-03-15,1.25,,,,,1.7
108,서울,2021-03-16,2.42,,,,,1.3
108,서울,2021-03-20,10.5,,,,,5.1
108,서울,2021-03-21,1.5,,,,,.3
108,서울,2021-03-27,13.08,,,,,25.5
108,서울,2021-03-28,15,,,,,9.2
108,서울,2021-03-29,2.75,,,,,.2
108,서울,2021-04-02,.83,0,,0,,0
108,서울,2021-04-03,16.53,2.9,1131,11.5,1110,56.2
108,서울,2021-04-04,5.75,.2,,.4,402,.6
108,서울,2021-04-12,14.17,1.6,2316,5.4,1831,22
108,서울,2021-04-13,6.75,.8,9,3,-2351,8
108,서울,2021-04-16,3.5,.3,1113,.7,1057,.7
108,서울,2021-04-17,1.58,0,,0,,0
108,서울,2021-04-23,4,0,,0,,0
108,서울,2021-04-24,.67,0,,0,,0
108,서울,2021-04-27,4,2.2,2356,5.8,2331,1.7
108,서울,2021-04-28,1.33,1.4,9,4.7,1,4.7
108,서울,2021-04-29,4.33,1.2,2355,4.3,2313,3.9
108,서울,2021-04-30,9.75,1.8,332,8.9,245,26.3
108,서울,2021-05-01,11.67,1.5,1424,5.3,1419,8
108,서울,2021-05-02,2.5,.4,110,1.2,24,1.7
108,서울,2021-05-04,16.25,1.5,1446,5.1,1436,19.6
108,서울,2021-05-05,.5,.1,,.4,-2331,.1
108,서울,2021-05-07,1.5,5.9,942,8.8,915,8.8
108,서울,2021-05-10,3.08,0,,0,,0
108,서울,2021-05-15,14,2.2,1338,5.8,1302,15
108,서울,2021-05-16,24,2.6,1912,11.3,1853,66.9
108,서울,2021-05-17,13.83,.4,1118,1.7,1115,3.1
108,서울,2021-05-20,11.15,.3,2011,.5,2219,.9
108,서울,2021-05-21,15.17,1.3,1444,2,1401,6.9
108,서울,2021-05-22,.92,.2,,.2,,.2
108,서울,2021-05-25,4.58,2.1,557,5.4,534,8.3
108,서울,2021-05-26,.67,0,,0,,0
108,서울,2021-05-27,5.92,2.1,726,6.5,642,8.9
108,서울,2021-05-28,7.83,1.7,505,4.7,502,12.3
108,서울,2021-05-29,8.42,.2,,.2,,.3
108,서울,2021-05-30,4,4,2249,11.3,2249,18.1
108,서울,2021-05-31,2.5,3.2,-2358,4.7,-2349,4
108,서울,2021-06-01,4.42,1.3,754,2.3,712,3.2
108,서울,2021-06-03,12.17,2.5,2024,5.1,1944,18.1
108,서울,2021-06-07,3.58,0,,0,,0
108,서울,2021-06-08,.92,.1,,.1,,.1
108,서울,2021-06-10,6.67,2,2318,5.1,2257,6.1
108,서울,2021-06-11,4.17,1,256,2.6,219,4.6
108,서울,2021-06-15,7.92,.3,1057,.9,1018,1.9
108,서울,2021-06-17,4.25,0,,0,,0
108,서울,2021-06-18,12,.5,620,1.7,553,6.3
108,서울,2021-06-22,2.08,0,,0,,0
108,서울,2021-06-23,.67,5,1538,7.5,1530,7.5
108,서울,2021-06-26,11.42,.7,342,2.6,339,4.5
108,서울,2021-06-27,3.42,11.7,1832,37.7,1824,38.2
108,서울,2021-06-28,1.67,.1,,.1,,.1
108,서울,2021-06-29,1.67,3.8,1631,8,1614,8
108,서울,2021-06-30,1.35,3.4,1209,6,1159,6
108,서울,2021-07-03,9.42,4,1736,13.8,1656,60
108,서울,2021-07-04,18.33,1.2,56,5.3,45,21.4
108,서울,2021-07-07,4.67,8.5,2057,12.4,2025,12.7
108,서울,2021-07-08,2,1,27,2.7,2,2.9
108,서울,2021-07-09,.25,0,,0,,0
108,서울,2021-07-10,2.8,.2,,.2,,.5
108,서울,2021-07-11,5.17,.3,640,.4,612,.4
108,서울,2021-07-15,2.07,0,,0,,0
108,서울,2021-07-17,.17,0,,0,,0
108,서울,2021-07-19,5,26.6,1435,65.7,1406,67.4
108,서울,2021-07-20,.83,0,,0,,0
108,서울,2021-07-28,1.33,0,,0,,0
108,서울,2021-07-31,2.75,2.4,251,2.4,201,3
108,서울,2021-08-01,13.42,7.3,1917,8.7,1909,21
108,서울,2021-08-02,6.92,.4,752,1.4,743,1.7
108,서울,2021-08-03,.35,0,,0,,0
108,서울,2021-08-08,4.58,7.8,1529,11.6,1522,12.7
108,서울,2021-08-11,1.25,0,,0,,0
108,서울,2021-08-12,1.08,0,,0,,0
108,서울,2021-08-16,.92,0,,0,,0
108,서울,2021-08-17,4.67,1.2,1957,5.3,1944,9.3
108,서울,2021-08-18,3.97,1.3,742,2.9,713,5.6
108,서울,2021-08-20,.58,0,,0,,0
108,서울,2021-08-21,11.33,11.9,1252,27.9,1219,62.8
108,서울,2021-08-22,1,0,,0,,0
108,서울,2021-08-23,11.33,.5,1849,2,1823,7.4
108,서울,2021-08-24,12.58,1.3,1336,2.8,1215,10.5
108,서울,2021-08-25,4.25,.2,,.3,150,.3
108,서울,2021-08-26,1.17,.7,1526,.7,1520,.7
108,서울,2021-08-27,10.38,.3,1400,.7,1318,.9
108,서울,2021-08-29,3.17,.5,126,.7,122,.9
108,서울,2021-08-30,1.17,0,,0,,0
108,서울,2021-08-31,16.55,4.4,2230,12.4,1356,77.4
108,서울,2021-09-01,4.08,.7,1,3.1,-2331,.8
108,서울,2021-09-06,9.17,1.2,2014,4,2138,12
108,서울,2021-09-07,22.58,2.4,919,6.6,852,29.6
108,서울,2021-09-08,6.67,.3,231,.7,149,1.6
108,서울,2021-09-21,9.58,7.5,2333,27.1,2312,68.1
108,서울,2021-09-22,2,1.9,5,4.2,1,4.5
108,서울,2021-09-27,5.67,0,,0,,0
108,서울,2021-09-28,9.28,.3,2000,.7,2100,1.3
108,서울,2021-09-29,12.25,1.6,522,5,847,13.1
108,서울,2021-10-01,2.17,8.5,2202,12.7,2153,13.3
108,서울,2021-10-04,6.17,1.1,1751,3.5,1714,3.6
108,서울,2021-10-05,2.92,0,,0,,0
108,서울,2021-10-06,11.92,.6,759,2,735,6.4
108,서울,2021-10-07,6.08,1.2,524,3.8,505,4.6
108,서울,2021-10-08,8.58,.3,1041,.9,1044,3.5
108,서울,2021-10-09,3.5,.2,,.3,635,.4
108,서울,2021-10-10,13.33,1.4,1236,4.4,1237,14.2
108,서울,2021-10-11,4.83,.2,,.3,-2331,.3
108,서울,2021-10-15,7.83,0,,0,,0
108,서울,2021-10-16,2.17,0,,0,,0
108,서울,2021-10-18,4.08,1.3,2341,4.8,2331,5.6
108,서울,2021-10-19,2.75,1,-2356,3.1,1,4.4
108,서울,2021-10-27,.75,0,,0,,0
108,서울,2021-10-31,.58,.7,2035,.7,2015,.7
108,서울,2021-11-04,.25,,,,,0
108,서울,2021-11-08,18.5,,,,,25.7
108,서울,2021-11-09,11.08,,,,,2
108,서울,2021-11-10,4.58,,,,,.3
108,서울,2021-11-11,.17,,,,,0
108,서울,2021-11-18,2.08,,,,,0
108,서울,2021-11-21,2.92,,,,,5.9
108,서울,2021-11-22,2.92,,,,,1.3
108,서울,2021-11-24,.17,,,,,0
108,서울,2021-11-26,.83,,,,,0
108,서울,2021-11-30,13.75,,,,,27.2
108,서울,2021-12-02,2.58,,,,,.1
108,서울,2021-12-03,2,,,,,.4
108,서울,2021-12-10,2.78,,,,,.7
108,서울,2021-12-14,7.58,,,,,1.2
108,서울,2021-12-15,4.25,,,,,2.1
108,서울,2021-12-16,.38,,,,,0
108,서울,2021-12-18,4.33,,,,,2.8
108,서울,2021-12-19,1.17,,,,,.2
108,서울,2021-12-20,.33,,,,,0
108,서울,2021-12-24,2.33,,,,,.2
108,서울,2021-12-27,2.08,,,,,0
108,서울,2021-12-29,1.58,,,,,.2
108,서울,2021-12-30,.5,,,,,0
